PSC;Obec;Okres;
10000;Praha;Hlavní město Praha;
10100;Praha;Hlavní město Praha;
10200;Praha;Hlavní město Praha;
10300;Praha;Hlavní město Praha;
10400;Praha;Hlavní město Praha;
10600;Praha;Hlavní město Praha;
10700;Praha;Hlavní město Praha;
10800;Praha;Hlavní město Praha;
10900;Praha;Hlavní město Praha;
11000;Praha;Hlavní město Praha;
11800;Praha;Hlavní město Praha;
11900;Praha;Hlavní město Praha;
12000;Praha;Hlavní město Praha;
12800;Praha;Hlavní město Praha;
13000;Praha;Hlavní město Praha;
14000;Praha;Hlavní město Praha;
14100;Praha;Hlavní město Praha;
14200;Praha;Hlavní město Praha;
14300;Praha;Hlavní město Praha;
14400;Praha;Hlavní město Praha;
14700;Praha;Hlavní město Praha;
14800;Praha;Hlavní město Praha;
15000;Praha;Hlavní město Praha;
15200;Praha;Hlavní město Praha;
15300;Praha;Hlavní město Praha;
15400;Praha;Hlavní město Praha;
15500;Praha;Hlavní město Praha;
15521;Praha;Hlavní město Praha;
15531;Praha;Hlavní město Praha;
15600;Praha;Hlavní město Praha;
15800;Praha;Hlavní město Praha;
15900;Praha;Hlavní město Praha;
16000;Praha;Hlavní město Praha;
16005;Praha;Hlavní město Praha;
16100;Praha;Hlavní město Praha;
16200;Praha;Hlavní město Praha;
16300;Praha;Hlavní město Praha;
16400;Praha;Hlavní město Praha;
16500;Praha;Hlavní město Praha;
16900;Praha;Hlavní město Praha;
17000;Praha;Hlavní město Praha;
17100;Praha;Hlavní město Praha;
18000;Praha;Hlavní město Praha;
18100;Praha;Hlavní město Praha;
18200;Praha;Hlavní město Praha;
18400;Praha;Hlavní město Praha;
18600;Praha;Hlavní město Praha;
19000;Praha;Hlavní město Praha;
19011;Praha;Hlavní město Praha;
19012;Praha;Hlavní město Praha;
19014;Praha;Hlavní město Praha;
19015;Praha;Hlavní město Praha;
19016;Praha;Hlavní město Praha;
19017;Praha;Hlavní město Praha;
19300;Praha;Hlavní město Praha;
19600;Praha;Hlavní město Praha;
19700;Praha;Hlavní město Praha;
19800;Praha;Hlavní město Praha;
19900;Praha;Hlavní město Praha;
25001;Brandýs nad Labem-Stará Boleslav;Praha-východ;
25063;Brázdim;Praha-východ;
25064;Hovorčovice;Praha-východ;
25065;Bašť;Praha-východ;
25066;Zdiby;Praha-východ;
25067;Klecany;Praha-východ;
25068;Husinec;Praha-východ;
25069;Klíčany;Praha-východ;
25070;Odolena Voda;Praha-východ;
25072;Kojetice;Mělník;
25073;Jenštejn;Praha-východ;
25075;Káraný;Praha-východ;
25081;Nehvizdy;Praha-východ;
25082;Dobročovice;Praha-východ;
25083;Škvorec;Praha-východ;
25084;Křenice;Praha-východ;
25087;Mochov;Praha-východ;
25088;Bříství;Nymburk;
25089;Lázně Toušeň;Praha-východ;
25090;Jirny;Praha-východ;
25091;Jenštejn;Praha-východ;
25092;Šestajovice;Praha-východ;
25101;Babice;Praha-východ;
25162;Louňovice;Praha-východ;
25163;Kunice;Praha-východ;
25164;Kaliště;Praha-východ;
25165;Kaliště;Praha-východ;
25166;Hrusice;Praha-východ;
25167;Nespeky;Benešov;
25168;Kamenice;Praha-východ;
25169;Kunice;Praha-východ;
25170;Čestlice;Praha-východ;
25202;Jíloviště;Praha-západ;
25203;Líšnice;Praha-západ;
25204;Čisovice;Praha-západ;
25205;Bratřínov;Praha-západ;
25206;Bojanovice;Praha-západ;
25207;Štěchovice;Praha-západ;
25208;Buš;Praha-západ;
25209;Hradištko;Praha-západ;
25210;Černolice;Praha-západ;
25216;Nučice;Praha-západ;
25217;Chýnice;Praha-západ;
25218;Ptice;Praha-západ;
25219;Drahelčice;Praha-západ;
25225;Dobříč;Praha-západ;
25226;Černošice;Praha-západ;
25228;Černošice;Praha-západ;
25229;Dobřichovice;Praha-západ;
25230;Hlásná Třebaň;Beroun;
25231;Všenory;Praha-západ;
25241;Dolní Břežany;Praha-západ;
25242;Jesenice;Praha-západ;
25243;Čestlice;Praha-východ;
25244;Psáry;Praha-západ;
25245;Březová-Oleško;Praha-západ;
25246;Dolní Břežany;Praha-západ;
25261;Dobrovíz;Praha-západ;
25262;Horoměřice;Praha-západ;
25263;Roztoky;Praha-západ;
25264;Číčovice;Praha-západ;
25265;Holubice;Praha-západ;
25266;Libčice nad Vltavou;Praha-západ;
