PSC;Obec;Okres; Kraj;
10000;Praha;Hlavní město Praha;Hlavní město Praha;
10100;Praha;Hlavní město Praha;Hlavní město Praha;
10200;Praha;Hlavní město Praha;Hlavní město Praha;
10300;Praha;Hlavní město Praha;Hlavní město Praha;
10400;Praha;Hlavní město Praha;Hlavní město Praha;
10600;Praha;Hlavní město Praha;Hlavní město Praha;
10700;Praha;Hlavní město Praha;Hlavní město Praha;
10800;Praha;Hlavní město Praha;Hlavní město Praha;
10900;Praha;Hlavní město Praha;Hlavní město Praha;
11000;Praha;Hlavní město Praha;Hlavní město Praha;
11800;Praha;Hlavní město Praha;Hlavní město Praha;
11900;Praha;Hlavní město Praha;Hlavní město Praha;
12000;Praha;Hlavní město Praha;Hlavní město Praha;
12800;Praha;Hlavní město Praha;Hlavní město Praha;
13000;Praha;Hlavní město Praha;Hlavní město Praha;
14000;Praha;Hlavní město Praha;Hlavní město Praha;
14100;Praha;Hlavní město Praha;Hlavní město Praha;
14200;Praha;Hlavní město Praha;Hlavní město Praha;
14300;Praha;Hlavní město Praha;Hlavní město Praha;
14400;Praha;Hlavní město Praha;Hlavní město Praha;
14700;Praha;Hlavní město Praha;Hlavní město Praha;
14800;Praha;Hlavní město Praha;Hlavní město Praha;
15000;Praha;Hlavní město Praha;Hlavní město Praha;
15200;Praha;Hlavní město Praha;Hlavní město Praha;
15300;Praha;Hlavní město Praha;Hlavní město Praha;
15400;Praha;Hlavní město Praha;Hlavní město Praha;
15500;Praha;Hlavní město Praha;Hlavní město Praha;
15521;Praha;Hlavní město Praha;Hlavní město Praha;
15531;Praha;Hlavní město Praha;Hlavní město Praha;
15600;Praha;Hlavní město Praha;Hlavní město Praha;
15800;Praha;Hlavní město Praha;Hlavní město Praha;
15900;Praha;Hlavní město Praha;Hlavní město Praha;
16000;Praha;Hlavní město Praha;Hlavní město Praha;
16005;Praha;Hlavní město Praha;Hlavní město Praha;
16100;Praha;Hlavní město Praha;Hlavní město Praha;
16200;Praha;Hlavní město Praha;Hlavní město Praha;
16300;Praha;Hlavní město Praha;Hlavní město Praha;
16400;Praha;Hlavní město Praha;Hlavní město Praha;
16500;Praha;Hlavní město Praha;Hlavní město Praha;
16900;Praha;Hlavní město Praha;Hlavní město Praha;
17000;Praha;Hlavní město Praha;Hlavní město Praha;
17100;Praha;Hlavní město Praha;Hlavní město Praha;
18000;Praha;Hlavní město Praha;Hlavní město Praha;
18100;Praha;Hlavní město Praha;Hlavní město Praha;
18200;Praha;Hlavní město Praha;Hlavní město Praha;
18400;Praha;Hlavní město Praha;Hlavní město Praha;
18600;Praha;Hlavní město Praha;Hlavní město Praha;
19000;Praha;Hlavní město Praha;Hlavní město Praha;
19011;Praha;Hlavní město Praha;Hlavní město Praha;
19012;Praha;Hlavní město Praha;Hlavní město Praha;
19014;Praha;Hlavní město Praha;Hlavní město Praha;
19015;Praha;Hlavní město Praha;Hlavní město Praha;
19016;Praha;Hlavní město Praha;Hlavní město Praha;
19017;Praha;Hlavní město Praha;Hlavní město Praha;
19300;Praha;Hlavní město Praha;Hlavní město Praha;
19600;Praha;Hlavní město Praha;Hlavní město Praha;
